cui,term,target_similarity,article_count,mgb_freq,importance_score,phenotyping_features,expanded_features,symnonym_cui,symnonym_term,acronym_cui,acronym_term
C0012833,Dizziness,0.2564,2,0.7054,0.2041,FALSE,FALSE,C4553830; C0042571; C0220870; C0234750; C0392701,"Dizziness, CTCAE 5.0; Vertigo; Lightheadedness; Objective vertigo; giddy mood",,
C4050410,Susceptibility Weighted Imaging,0.1809,1,0.0082,0.204,FALSE,FALSE,,,AB000swi,swi
C0023787,Lipodystrophy,0.1768,1,0.0074,0.2026,FALSE,FALSE,,,,
C1559081,Adverse Event Associated with Death,0.1673,4,0.3276,0.2009,FALSE,FALSE,,,,
C0021485,Injection of therapeutic agent,0.1855,4,0.7374,0.1994,FALSE,FALSE,,,AB00shot,shot
C0042870,Vitamin D Deficiency,0.1963,2,0.169,0.198,FALSE,FALSE,C4285871,Vitamin D low,,
C0007682,CNS disorder,0.2069,1,0.0206,0.198,FALSE,FALSE,,,,
C0027769,Nervousness,0.1685,2,0.0508,0.1969,FALSE,FALSE,C0849963,Feeling nervous,,
C0751651,Mitochondrial Diseases,0.2411,1,0.0056,0.1962,FALSE,FALSE,,,,
C5203232,Monoclonal Antibody [EPC],0.168,1,0.0066,0.1957,FALSE,FALSE,,,AB000mab; AB00moab,mab; moab
C0184661,Interventional procedure,0.1839,4,0.8462,0.1939,FALSE,FALSE,,,,
C0233794,Memory impairment,0.1835,2,0.1322,0.1936,FALSE,FALSE,C4553765; C0002622; C0542476; C0751295,"Memory Impairment, CTCAE 5.0; Amnesia; Forgetful; Memory Loss",,
C0575090,Equilibration disorder,0.1836,3,0.169,0.1934,FALSE,FALSE,C0241981,Impairment of balance,,
C0004936,Mental disorders,0.2778,1,0.102,0.1927,FALSE,FALSE,,,,
C3853505,Trapped,0.2186,1,0.031,0.1926,FALSE,FALSE,,,,
C0600220,Family health status,0.1922,1,0.0168,0.1912,FALSE,FALSE,,,,
C0006950,Carbamazepine measurement,0.1697,2,0.0306,0.1903,FALSE,FALSE,,,,
C0453996,Tobacco smoking behavior,0.1661,4,0.6242,0.1887,FALSE,FALSE,C0037369,Smoking,,
C0234985,Mental deterioration,0.1923,2,0.0366,0.1873,FALSE,FALSE,,,,
C0006826,Malignant Neoplasms,0.2066,3,0.6828,0.1862,FALSE,FALSE,C0346957; C0347071; C0007097; C0027651; C1306459; C0442867,Disseminated Malignant Neoplasm; Malignant neoplasm of other and unspecified sites; Carcinoma; Neoplasms; Primary malignant neoplasm; malignant disease,AB0000ca,ca
C0851578,Sleep Disorders,0.1879,3,0.2744,0.186,FALSE,FALSE,,,,
C3830528,Destroyed Medical Device,0.2053,1,0.0274,0.1855,FALSE,FALSE,,,,
C0524851,Neurodegenerative Disorders,0.1968,1,0.0222,0.1855,FALSE,FALSE,C1456654,Degenerative Nerve Diseases,,
C1556354,Adverse Event Associated with Constitutional Symptoms,0.2584,1,0.0928,0.1826,FALSE,FALSE,,,,
C2004491,Cicatrix,0.1938,3,0.511,0.1825,FALSE,FALSE,C0241158,Scar Tissue,AB00scar,scar
C0178499,Base,0.1959,3,0.387,0.1822,FALSE,FALSE,C0002055,Alkalies,AB00base,base
C0856054,Mental status changes,0.1752,2,0.1046,0.181,FALSE,FALSE,C0278061,Abnormal mental state,,
C0150045,Urge Incontinence,0.1892,2,0.0578,0.1807,FALSE,FALSE,,,,
C0391976,Pain Disorder,0.1984,2,0.0574,0.179,FALSE,FALSE,,,,
C0221170,Muscular stiffness,0.196,1,0.026,0.179,FALSE,FALSE,C0026837,Muscle Rigidity,,
C1533685,Injection procedure,0.1663,4,0.7374,0.1787,FALSE,FALSE,,,,
C1444648,Offered,0.2287,2,0.5384,0.1776,FALSE,FALSE,,,,
C0030232,Pallor,0.217,2,0.1284,0.1772,FALSE,FALSE,C0241137,Pallor of skin,AB00pale,pale
C0853986,Lymphocyte count decreased,0.2541,1,0.0182,0.1761,FALSE,FALSE,C0024312,Lymphopenia,,
C3697880,Intractable nausea and vomiting,0.1856,1,0.0058,0.1761,FALSE,FALSE,,,,
C0033975,Psychotic Disorders,0.3129,1,0.1338,0.1755,FALSE,FALSE,C4554629,"Psychosis, CTCAE",,
C5236074,Identified By,0.1736,3,0.3274,0.1734,FALSE,FALSE,,,,
C3639994,Discordance,0.1839,1,0.0222,0.1734,FALSE,FALSE,,,,
C0557061,Discussion (procedure),0.2144,2,0.1688,0.173,FALSE,FALSE,,,,
C2698967,Canadian Cardiovascular Society Grading Scale Class I,0.2324,1,0.0714,0.1729,FALSE,FALSE,,,,
C1457901,unidentified dose form,0.1796,1,0.0206,0.1718,FALSE,FALSE,,,,
C2266644,subjective (symptom),0.248,2,0.6814,0.1717,FALSE,FALSE,C1287400,History finding,,
C0221444,clinical syndromes,0.2003,1,0.0116,0.1707,FALSE,FALSE,,,,
C0600457,Gravidity,0.1851,3,0.4326,0.1706,FALSE,FALSE,,,,
C0021053,Immune System Diseases,0.1654,1,0.0142,0.1699,FALSE,FALSE,,,,
C0043299,Diagnostic radiologic examination,0.2175,2,0.817,0.1694,FALSE,FALSE,C1962945,Radiographic imaging procedure,AB00xray,xray
C0007760,Cerebellar Diseases,0.1861,1,0.0078,0.1692,FALSE,FALSE,,,,
C0043047,Water,0.2077,1,0.0152,0.1685,FALSE,FALSE,,,AB00agua,agua
C2364293,Able to communicate,0.1982,1,0.0382,0.1674,FALSE,FALSE,,,,
C3714660,Trauma,0.1852,3,0.575,0.1672,FALSE,FALSE,C3263723,Traumatic injury,,
C0009676,Confusion,0.2289,2,0.2392,0.1671,FALSE,FALSE,C0683369; C4555211,"Clouded consciousness; Confusion, CTCAE 5.0",AB00daze,daze
C0518462,Self care hygiene,0.1865,2,0.2308,0.1669,FALSE,FALSE,,,,
C0005697,Neurogenic Urinary Bladder,0.2607,1,0.022,0.1658,FALSE,FALSE,C0235093,Paralysis of bladder,,
C0344232,Blurred vision,0.1825,2,0.318,0.1648,FALSE,FALSE,C1557375,"Blurred Vision, CTCAE",,
C0149931,Migraine Disorders,0.3574,1,0.2848,0.1646,FALSE,FALSE,C0744641,Intermittent migraine headaches,,
C0422837,Neurological observations,0.207,2,0.7218,0.1642,FALSE,FALSE,,,,
C0036341,Schizophrenia,0.2624,1,0.0282,0.1611,FALSE,FALSE,,,AB00sczd,sczd
C4317109,Epileptic Seizures,0.1754,1,0.0074,0.1608,FALSE,FALSE,,,,
C4319571,High risk,0.1697,3,0.6426,0.1606,FALSE,FALSE,,,,
C0024141,"Lupus Erythematosus, Systemic",0.1919,2,0.1178,0.1606,FALSE,FALSE,C0409974,Lupus Erythematosus,AB000sle; AB00sles,sle; sles
C4552233,Nuclear magnetic resonance imaging neck,0.2182,1,0.0354,0.1594,FALSE,FALSE,,,,
C1306597,Psychiatric problem,0.3184,1,0.6846,0.1592,FALSE,FALSE,,,,
C0023522,"Leukodystrophy, Metachromatic",0.2149,1,0.0106,0.1588,FALSE,FALSE,,,AB000mld,mld
C0235396,Hypertonicity,0.1737,1,0.0112,0.1585,FALSE,FALSE,,,,
C2239122,Social history of activities,0.2151,3,0.751,0.1581,FALSE,FALSE,,,,
C0037317,Sleep disturbances,0.2077,2,0.3796,0.1577,FALSE,FALSE,,,,
C1291658,Urinary system finding,0.1809,1,0.0148,0.157,FALSE,FALSE,,,,
C0020517,Hypersensitivity,0.1752,3,0.6216,0.1569,FALSE,FALSE,C0851444; C1527304,Allergic condition; Allergic Reaction,AB00hysn,hysn
C0001924,Albumins,0.1682,3,0.6616,0.1562,FALSE,FALSE,,,,
C0028326,Noonan Syndrome,0.1697,1,0.0256,0.1555,FALSE,FALSE,,,,
C0598801,Diffusion weighted imaging,0.2033,1,0.0212,0.1548,FALSE,FALSE,,,AB000dwi,dwi
C1522449,Therapeutic radiology procedure,0.1812,2,0.198,0.1546,FALSE,FALSE,C0006098,Brachytherapy,AB0000rt,rt
C4521152,1 or 2,0.1675,2,0.192,0.1545,FALSE,FALSE,,,,
C2364105,Actual Lack Of Social Support,0.202,1,0.0076,0.1544,FALSE,FALSE,,,,
C0003803,Arnold Chiari Malformation,0.1925,1,0.0058,0.1528,FALSE,FALSE,,,,
C0020538,Hypertensive disease,0.2153,2,0.651,0.1527,FALSE,FALSE,C0085580; C0155583; C1556272; C1556273; C1556274; C1963138; C0497247,"Essential Hypertension; Benign essential hypertension (disorder); Grade 1 Hypertension, CTCAE; Grade 2 Hypertension, CTCAE; Grade 3 Hypertension, CTCAE; Hypertension, CTCAE; Increase in blood pressure",AB000hbp; AB000htn,hbp; htn
C3808195,Gait impairment,0.1872,1,0.0072,0.1523,FALSE,FALSE,,,,
C3257980,Other symptoms,0.1706,2,0.239,0.1515,FALSE,FALSE,,,,
C0038522,Subacute Sclerosing Panencephalitis,0.215,1,0.0312,0.1514,FALSE,FALSE,,,AB00sspe,sspe
C0311394,Difficulty walking,0.2367,1,0.157,0.1513,FALSE,FALSE,,,,
C4693372,Clumsy,0.1922,1,0.0252,0.1504,FALSE,FALSE,,,,
C0751837,Gait Ataxia,0.1882,1,0.0168,0.1498,FALSE,FALSE,C0427154,Tabetic gait,,
C3845261,No activity,0.1719,2,0.0652,0.1496,FALSE,FALSE,,,,
C0587246,Muscle weakness of limb,0.1683,2,0.0834,0.1494,FALSE,FALSE,,,,
C3714697,AV Block Second Degree by ECG Finding,0.185,1,0.0066,0.1473,FALSE,FALSE,,,,
C1853562,Adult onset,0.2349,1,0.0266,0.1459,FALSE,FALSE,,,,
C0043121,Wernicke Encephalopathy,0.1946,1,0.0086,0.1458,FALSE,FALSE,,,,
C0577305,Multiple lesions,0.2381,1,0.0296,0.1447,FALSE,FALSE,,,,
C4763675,Single Agent Therapy,0.1704,2,0.081,0.1447,FALSE,FALSE,,,,
C5203102,RECIL SD,0.2432,1,0.0392,0.1445,FALSE,FALSE,,,,
C3834263,Inactive - answer to question,0.2044,2,0.2058,0.1445,FALSE,FALSE,,,,
C0436331,Symptom aggravating factors,0.1677,3,0.45,0.1445,FALSE,FALSE,,,,
C4740690,Mild disease,0.1978,1,0.0262,0.1443,FALSE,FALSE,,,,
C0018989,Hemiparesis,0.1923,1,0.023,0.144,FALSE,FALSE,,,,
C0231218,Malaise,0.21,2,0.4118,0.1429,FALSE,FALSE,C4552989; C0024528; C0439032; C2364135,"Malaise, CTCAE; Malaise and fatigue; C/O - debility - malaise; Discomfort",AB000ill,ill
C5201148,Moderate,0.1976,2,0.5154,0.1428,FALSE,FALSE,,,,
C0497153,No disease,0.196,1,0.027,0.1422,FALSE,FALSE,,,,
C0234162,Cerebellar Dysmetria,0.2607,1,0.0462,0.1418,FALSE,FALSE,,,,
C4722408,Reactive Therapy,0.1712,2,0.5564,0.1413,FALSE,FALSE,,,,
C0151889,Hyperreflexia,0.2082,1,0.038,0.1408,FALSE,FALSE,C1846176,Hyperactive deep tendon reflexes,AB000hrx,hrx
C0349204,Nonorganic psychosis,0.2413,1,0.111,0.1402,FALSE,FALSE,,,,
C0241158,Scar Tissue,0.1739,2,0.3384,0.1398,FALSE,FALSE,C0022548; C2004491,Keloid; Cicatrix,AB00scar,scar
C0036202,Sarcoidosis,0.2155,1,0.048,0.139,FALSE,FALSE,,,,
C0241137,Pallor of skin,0.1698,2,0.1282,0.1388,FALSE,FALSE,C0277941; C0030232,Blanching of skin; Pallor,,
C0678215,Patient observed to be pale,0.167,2,0.119,0.1384,FALSE,FALSE,,,AB00pale,pale
C1518340,No Evidence of Disease,0.1654,2,0.0802,0.1381,FALSE,FALSE,,,AB000ned,ned
C3540840,Sign or Symptom,0.1886,2,0.2342,0.1381,FALSE,FALSE,,,AB00desc,desc
C3842628,Cognitive problems,0.2281,1,0.0308,0.1375,FALSE,FALSE,,,,
C3542996,Mindfulness,0.1905,1,0.088,0.136,FALSE,FALSE,,,,
C2697310,"SARCOIDOSIS, SUSCEPTIBILITY TO, 1 (finding)",0.195,1,0.033,0.1358,FALSE,FALSE,,,AB000ss1,ss1
C0011168,Deglutition Disorders,0.1971,2,0.4176,0.1352,FALSE,FALSE,C1560331; C0267071,"Dysphagia, CTCAE; Oropharyngeal Dysphagia",,
C0600116,Does speak,0.1791,2,0.4006,0.1348,FALSE,FALSE,,,,
C0027577,Nelson Syndrome,0.2034,1,0.1324,0.1343,FALSE,FALSE,,,,
C4086268,Exacerbation,0.1837,2,0.2406,0.1339,FALSE,FALSE,,,,
C3538874,Stable chronic Graft vs Host Disease,0.2231,1,0.0394,0.1324,FALSE,FALSE,,,,
C4086580,Midline Shift,0.2518,1,0.1354,0.1324,FALSE,FALSE,,,,
C0033774,Pruritus,0.2013,2,0.546,0.1323,FALSE,FALSE,C1559138,"Pruritus, CTCAE",AB00itch,itch
C0333606,Dystrophy,0.1728,1,0.0154,0.132,FALSE,FALSE,,,,
C0009244,Cognitive Therapy,0.1722,1,0.0616,0.1319,FALSE,FALSE,,,AB000cbt; AB0000ct,cbt; ct
C1821973,Vulnerability,0.2293,1,0.039,0.1318,FALSE,FALSE,,,,
C0332128,Examined,0.185,2,0.8402,0.1316,FALSE,FALSE,,,,
C4062565,Disuse,0.1865,1,0.0124,0.1314,FALSE,FALSE,,,,
C5203101,Global Stable Disease in Skin,0.2192,1,0.0392,0.1303,FALSE,FALSE,,,AB0000sd,sd
C4740692,Severe disease,0.1664,1,0.02,0.1281,FALSE,FALSE,,,,
C0729233,Dissecting aneurysm of the thoracic aorta,0.1906,2,0.3966,0.1277,FALSE,FALSE,,,,
C5203670,COVID19 (disease),0.2438,1,0.527,0.1269,FALSE,FALSE,,,,
C0009240,Cognition,0.1799,2,0.6128,0.1266,FALSE,FALSE,,,,
C5203130,IMWG Stable Disease,0.2129,1,0.0392,0.1265,FALSE,FALSE,,,,
C0018772,"Hearing Loss, Partial",0.1799,2,0.305,0.1259,FALSE,FALSE,,,,
C0683525,treatment options,0.2178,2,0.7598,0.1256,FALSE,FALSE,,,,
C3540542,Exacerbation of cGVHD,0.2189,1,0.3116,0.1241,FALSE,FALSE,,,,
C0231686,"Gait, Unsteady",0.1895,1,0.1388,0.124,FALSE,FALSE,C0004134,Ataxia,,
C0701466,Solu-Medrol,0.1819,1,0.1126,0.1238,FALSE,FALSE,C0700546,Methylprednisolone Sodium Succinate,,
C3890554,Physical Inactivity,0.1827,2,0.2638,0.1237,FALSE,FALSE,,,,
C1548428,Referral type - Psychiatric,0.2216,2,0.8076,0.1236,FALSE,FALSE,,,,
C1706307,Irritation (finding),0.2222,1,0.3528,0.1234,FALSE,FALSE,,,,
C1836150,Gait imbalance,0.1963,1,0.023,0.123,FALSE,FALSE,,,,
C0518656,Chronic fatigue,0.197,1,0.0784,0.1225,FALSE,FALSE,,,,
C1298685,Chronic pain syndrome,0.166,1,0.034,0.1222,FALSE,FALSE,,,,
C0027853,Neurologic Examination,0.1916,2,0.5732,0.1221,FALSE,FALSE,,,,
C3526598,Psychiatric service,0.2169,2,0.8076,0.121,FALSE,FALSE,,,,
C0013126,Intrinsic drive,0.1884,1,0.1566,0.1206,FALSE,FALSE,,,,
C0878773,Overactive Bladder,0.2096,1,0.0354,0.1204,FALSE,FALSE,C0403643; C0489967; C0085606,Bladder muscle dysfunction - overactive; Low compliance bladder; Urgency of micturition,,
C1704258,Abnormality,0.1896,2,0.5792,0.1197,FALSE,FALSE,,,,
C3897625,Severity of Symptom Score 6,0.1996,1,0.0706,0.1191,FALSE,FALSE,,,,
C3840684,Modification,0.2048,1,0.2786,0.1183,FALSE,FALSE,,,,
C1962945,Radiographic imaging procedure,0.2409,1,0.7736,0.1183,FALSE,FALSE,C0043299,Diagnostic radiologic examination,AB0000xr,xr
C1384666,hearing impairment,0.1785,2,0.4372,0.1178,FALSE,FALSE,C1456552; C0011053; C0339789; C3887873; C4552850; C2029884,"Hearing Disorders and Deafness; Deafness; Congenital deafness; Hearing Loss; Hearing Impaired, CTCAE; hearing loss by exam",,
C4724041,irSD (Immune-Related Response Criteria),0.1977,1,0.0392,0.1174,FALSE,FALSE,,,AB00irsd,irsd
C1263846,Attention deficit hyperactivity disorder,0.218,1,0.0608,0.1144,FALSE,FALSE,C0339004; C1321905; C0339002,"Hyperkinetic conduct disorder; Minimal Brain Dysfunction; Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",AB000add; AB00addh; AB00adhd,add; addh; adhd
C0003873,Rheumatoid Arthritis,0.2343,1,0.1052,0.1142,FALSE,FALSE,,,AB0000ra,ra
C0002170,Alopecia,0.1892,1,0.2172,0.1141,FALSE,FALSE,C1559115; C1559116,"Alopecia, CTCAE; Grade 1 Alopecia, CTCAE",AB00bald,bald
C3843725,None of these,0.1983,1,0.0848,0.1141,FALSE,FALSE,,,,
C0041671,Attention Deficit Disorder,0.2058,1,0.048,0.1133,FALSE,FALSE,C0339002,"Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",,
C0231221,Asymptomatic,0.1663,2,0.693,0.1128,FALSE,FALSE,C0436342,Free of symptoms,,
C4085643,Moderate Response,0.2148,1,0.516,0.1122,FALSE,FALSE,,,,
C5452990,Helped,0.2534,1,0.5452,0.1117,FALSE,FALSE,,,,
C0339002,"Attention-Deficit/Hyperactivity Disorder, Predominantly Inattentive Type",0.1825,1,0.0294,0.1111,FALSE,FALSE,C0041671; C1263846,Attention Deficit Disorder; Attention deficit hyperactivity disorder,AB000add,add
C0009443,Common Cold,0.1655,1,0.1212,0.1111,FALSE,FALSE,C0339916; C0555970; C0086066,Viral upper respiratory tract infection; Nasal infection; Acute Coryza,AB00cold,cold
C2700617,Irritation - emotion,0.2102,1,0.4852,0.1109,FALSE,FALSE,,,,
C0024131,Lupus Vulgaris,0.198,1,0.1004,0.1102,FALSE,FALSE,,,,
C0038454,Cerebrovascular accident,0.2054,1,0.445,0.1099,FALSE,FALSE,C4554100; C1263853,"Stroke, CTCAE; Paralytic stroke",AB000cva,cva
C0030319,Panic Disorder,0.186,1,0.0344,0.1096,FALSE,FALSE,,,,
C0016770,Frustration,0.222,1,0.2804,0.1091,FALSE,FALSE,,,,
C0202361,Clonazepam measurement,0.1804,1,0.0904,0.1091,FALSE,FALSE,,,,
C0011854,"Diabetes Mellitus, Insulin-Dependent",0.1995,1,0.0502,0.1089,FALSE,FALSE,,,AB000idd; AB00iddm; AB000jod; AB00jodm; AB000t1d,idd; iddm; jod; jodm; t1d
C3830105,Flare-up,0.1901,1,0.3164,0.1075,FALSE,FALSE,,,,
C0003635,Apraxias,0.1672,1,0.0204,0.1073,FALSE,FALSE,C0233844,Clumsiness,,
C0202368,Diazepam measurement,0.18,1,0.0998,0.1068,FALSE,FALSE,,,AB00dzpm,dzpm
C0917801,Sleeplessness,0.2891,1,0.3852,0.106,FALSE,FALSE,C4554626,"Insomnia, CTCAE 5.0",,
C0683369,Clouded consciousness,0.2199,1,0.224,0.1055,FALSE,FALSE,C0009676; C0595963,Confusion; Muzzy headed,,
C3543842,TONICS,0.1792,1,0.0318,0.1052,FALSE,FALSE,,,,
C0278061,Abnormal mental state,0.1925,1,0.1116,0.105,FALSE,FALSE,C1330966; C0856054,Developmental Academic Disability; Mental status changes,,
C0455769,Increased energy,0.1884,1,0.0552,0.1044,FALSE,FALSE,,,,
C2712015,Reduced Pain,0.1814,1,0.0354,0.1042,FALSE,FALSE,,,,
C0042384,Vasculitis,0.1754,1,0.0768,0.1029,FALSE,FALSE,C1963274,"Vasculitis, CTCAE",,
C3815497,Cough (guaifenesin),0.1807,2,0.7082,0.1028,FALSE,FALSE,,,,
C3812891,All of the Time,0.211,1,0.2122,0.1022,FALSE,FALSE,,,,
C0010200,Coughing,0.1805,2,0.7316,0.1022,FALSE,FALSE,C1557659; C1961131,"Grade 1 Cough, CTCAE; Cough, CTCAE",,
C0018786,Hearing Tests,0.1777,1,0.0866,0.1018,FALSE,FALSE,C0234725; C1455844; C0004286,Hearing normal; Hearing examination finding; Audiometry,,
C1821144,White blood count,0.1799,1,0.0516,0.1011,FALSE,FALSE,,,,
C2364069,Able to cope,0.1656,1,0.0266,0.1008,FALSE,FALSE,,,,
C0001546,Adjustment Disorders,0.1883,1,0.056,0.1005,FALSE,FALSE,,,,
C0807679,Radiology studies,0.2012,1,0.7166,0.1,FALSE,FALSE,,,AB000rad,rad
C3842396,No difference,0.1832,1,0.0606,0.0996,FALSE,FALSE,,,,
C5444885,Expression Positive,0.1921,1,0.5478,0.0994,FALSE,FALSE,,,,
C3853527,Complement (Immunology Procedures),0.1653,1,0.0514,0.0993,FALSE,FALSE,,,,
C0231303,Distress,0.2857,1,0.5432,0.0991,FALSE,FALSE,,,,
C0006309,Brucellosis,0.1657,1,0.2348,0.0986,FALSE,FALSE,,,,
C0011127,Pressure Ulcer,0.2229,1,0.1372,0.0984,FALSE,FALSE,,,,
C0026764,Multiple Myeloma,0.1818,1,0.0524,0.0983,FALSE,FALSE,,,,
C0150041,Feeling hopeless,0.2221,1,0.5494,0.0978,FALSE,FALSE,,,,
C0085648,Synovial Cyst,0.1712,1,0.0884,0.0977,FALSE,FALSE,,,,
C0040329,Tobacco,0.1698,1,0.2882,0.0975,FALSE,FALSE,,,,
C0677660,Emotional problems,0.1744,1,0.3432,0.0973,FALSE,FALSE,C2127323,emotional problems or concerns,,
C0042267,Vaginitis,0.1785,1,0.0506,0.0972,FALSE,FALSE,C4553094,"Vaginal Inflammation, CTCAE",,
C4048329,Immunosuppression,0.1958,1,0.0974,0.0969,FALSE,FALSE,,,,
C0026846,Muscular Atrophy,0.1894,1,0.0638,0.0965,FALSE,FALSE,,,,
C3809991,"IMMUNODEFICIENCY, COMMON VARIABLE, 10",0.2777,1,0.6528,0.0942,FALSE,FALSE,,,,
C0007787,Transient Ischemic Attack,0.167,1,0.0508,0.0941,FALSE,FALSE,C0917805; C4554641,"Transient Cerebral Ischemia; Transient Ischemic Attacks, CTCAE",AB000tia; AB00tias,tia; tias
C0278034,Cloudy urine,0.1692,1,0.0426,0.0941,FALSE,FALSE,,,,
C0409974,Lupus Erythematosus,0.167,1,0.1012,0.0928,FALSE,FALSE,C0024138; C0024141; C2362320,"Lupus Erythematosus, Discoid; Lupus Erythematosus, Systemic; Subacute cutaneous lupus",,
C0011847,Diabetes,0.2671,1,0.5842,0.0916,FALSE,FALSE,,,,
C1950154,Insomnia homeopathic medication,0.246,1,0.3834,0.0902,FALSE,FALSE,,,,
C0201925,Calcium measurement,0.182,1,0.763,0.0896,FALSE,FALSE,,,AB0000ca,ca
C0029456,Osteoporosis,0.2312,1,0.2868,0.0895,FALSE,FALSE,C4554622; C1318518,"Osteoporosis, CTCAE 5.0; Infantile malignant osteopetrosis",,
C3887873,Hearing Loss,0.1879,1,0.2352,0.0894,FALSE,FALSE,C1384666,hearing impairment,,
C3853703,Pacemaker ECG Assessment,0.1831,1,0.1058,0.0892,FALSE,FALSE,,,,
C0035258,Restless Legs Syndrome,0.1787,1,0.0718,0.0889,FALSE,FALSE,C2168236,legs feel restless,AB000rls,rls
C0023530,Leukopenia,0.1723,1,0.0668,0.0887,FALSE,FALSE,C0750394,White blood cell count decreased,,
C0027902,Neuropsychological Tests,0.17,1,0.0626,0.0887,FALSE,FALSE,,,,
C0497406,Overweight,0.2361,1,0.3552,0.0882,FALSE,FALSE,,,,
C5424789,Contractility,0.1827,1,0.0868,0.0876,FALSE,FALSE,,,,
C2029884,hearing loss by exam,0.1829,1,0.2352,0.0871,FALSE,FALSE,C1384666,hearing impairment,,
C0700361,Emotional distress,0.2492,1,0.5418,0.0865,FALSE,FALSE,,,,
C0011053,Deafness,0.1864,1,0.2956,0.0853,FALSE,FALSE,C1384666,hearing impairment,,
C3897632,Severity of Symptom Score 0,0.2112,1,0.6532,0.0851,FALSE,FALSE,,,,
C4684790,Study Subject Enrolled,0.1799,1,0.125,0.0849,FALSE,FALSE,,,,
C0013216,Pharmacotherapy,0.1707,1,0.2876,0.0835,FALSE,FALSE,,,,
C0740858,Substance abuse problem,0.206,1,0.221,0.083,FALSE,FALSE,C0013146; C0038586,Drug abuse; Substance Use Disorders,,
C4281788,hemodynamics (procedure),0.1901,1,0.283,0.0827,FALSE,FALSE,C0204901,Hemodynamic measurements,,
C5243901,Symptomatic treatment,0.2346,1,0.5606,0.0827,FALSE,FALSE,,,,
C0013658,Educational Status,0.1954,1,0.7204,0.0826,FALSE,FALSE,,,,
C0024031,Low Back Pain,0.2272,1,0.4208,0.0826,FALSE,FALSE,C0436551; C0004604,C/O - low back pain; Back Pain,AB000lbp,lbp
C0021308,Infarction,0.1895,1,0.4072,0.0823,FALSE,FALSE,,,,
C0175663,Sounds device,0.1838,1,0.5146,0.0818,FALSE,FALSE,,,,
C1262477,Weight decreased,0.2043,1,0.6884,0.0817,FALSE,FALSE,C0041667; C2911645,"Underweight; Weight Loss, CTCAE",,
C1272941,Vaginal Dosage Form,0.209,1,0.2688,0.0813,FALSE,FALSE,,,AB000vag,vag
C0678856,skill,0.2032,1,0.2342,0.081,FALSE,FALSE,,,,
C0009967,Coping Behavior,0.218,1,0.3542,0.081,FALSE,FALSE,,,AB00cope,cope
C3844113,Almost All of the Time,0.1684,1,0.096,0.0807,FALSE,FALSE,,,,
C0020676,Hypothyroidism,0.1964,1,0.2218,0.0806,FALSE,FALSE,C4553310; C0271791,"Hypothyroidism, CTCAE; Severe hypothyroidism",,
C5401241,Chlamydia Measurement,0.1664,1,0.1566,0.0804,FALSE,FALSE,,,,
C5238455,Does Not Interfere,0.2207,1,0.4038,0.0802,FALSE,FALSE,,,,
C0019348,Herpes Simplex Infections,0.1683,1,0.1028,0.0796,FALSE,FALSE,,,AB000hsv,hsv
C0003862,Arthralgia,0.2252,1,0.5674,0.0792,FALSE,FALSE,C4551938; C2184202,"Arthralgia, CTCAE 5; localized joint pain",,
C1444656,Indicated,0.1913,1,0.659,0.077,FALSE,FALSE,,,,
C2911643,Encounter due to family history of osteoporosis,0.1977,1,0.2868,0.0765,FALSE,FALSE,,,,
C2712089,Able to walk (finding),0.17,1,0.3276,0.0765,FALSE,FALSE,,,,
C1458132,Treatment/Psychosocial Effects,0.1863,1,0.2302,0.076,FALSE,FALSE,,,,
C0520946,Emotional hypersensitivity,0.1731,1,0.1564,0.075,FALSE,FALSE,,,,
C4553821,Feels,0.2312,1,0.8564,0.0749,FALSE,FALSE,,,,
C2700390,COPING - Dental Restorative Procedure,0.1989,1,0.3528,0.0739,FALSE,FALSE,,,,
C0455941,Vibration - treatment,0.1841,1,0.2328,0.0734,FALSE,FALSE,C0459800,Vibration - physical agent,,
C3872897,Cares for self,0.1828,1,0.2386,0.073,FALSE,FALSE,,,,
C0038842,Supervision (regime/therapy),0.1838,1,0.3302,0.073,FALSE,FALSE,,,,
C0441633,Scanning,0.2116,1,0.6456,0.073,FALSE,FALSE,,,AB00scan,scan
C4553162,Normal Activity with No Limitations,0.1752,1,0.5422,0.0727,FALSE,FALSE,,,,
C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",0.2111,1,0.6032,0.0721,FALSE,FALSE,,,AB00aodm; AB000mod; AB00mody; AB000t2d,aodm; mod; mody; t2d
C0011849,Diabetes Mellitus,0.2108,1,0.6034,0.072,FALSE,FALSE,C1278603,Diabetes resolved,AB0000dm,dm
C0018802,Congestive heart failure,0.1779,1,0.3018,0.0717,FALSE,FALSE,C0018801,Heart failure,AB000ccf; AB000chf,ccf; chf
C3844126,Can Do Very Little,0.1802,1,0.2462,0.0716,FALSE,FALSE,,,,
C0042029,Urinary tract infection,0.1738,1,0.2272,0.071,FALSE,FALSE,C4554638,"Urinary Tract Infection, CTCAE",AB000uti; AB00utis,uti; utis
C0030971,Perception,0.1671,1,0.1644,0.0709,FALSE,FALSE,,,,
C0543467,Operative Surgical Procedures,0.1706,1,0.8998,0.0698,FALSE,FALSE,C0038894,Surgery specialty,AB00surg,surg
